"StudentID","Appreciation","Comments"
"300124366",":1st_place_medal:","1️⃣ Bonne illustration, commenter de préférence par image"
"300147253",":x:","1️⃣ Rien à corriger"
"300147891",":x:","1️⃣ Rien à corriger"
"300155045",":x:","1️⃣ Rien à corriger"
"300151722",":1st_place_medal:","1️⃣ Trés bonne illustration et documentation"
"300152004",":x:","1️⃣ Rien à corriger"
"300153405",":x:","1️⃣ Rien à corriger"
"300153416",":1st_place_medal:","1️⃣ Bonne illustration et documentation"
"300155462",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300156534",":x:","1️⃣ Rien à corriger"
"300157250",":x:","1️⃣ Rien à corriger"
"300157298",":x:","1️⃣ Rien à corriger"
"300157307",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300157423",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration"
"300157606",":1st_place_medal:","1️⃣ Bon texte mais manque d'illustrations"
"300157727",":x:","1️⃣ Rien à corriger"
"300157733",":x:","1️⃣ Rien à corriger"
"300158085",":1st_place_medal:","1️⃣ Bonne illustration et documentation"
"300159180",":x:","1️⃣ Rien à corriger"
"300159195",":1st_place_medal:","1️⃣ Trés bonne illustration et documentation"
"300159203",":1st_place_medal:","1️⃣ Trés bonne illustration et documentation"
"300159437",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300159463",":x:","1️⃣ Rien à corriger"
"300159693",":1st_place_medal:","1️⃣ Trés bonne illustration et documentation"
"300159672",":1st_place_medal:","1️⃣ Trés bonne illustration et documentation"
"300159887",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration"
"300159995",":x:","1️⃣ Rien à corriger"
"300160006",":1st_place_medal:","1️⃣ Trés bonne illustration et documentation"
"300160424",":2nd_place_medal:","1️⃣ Pas de texte et une illustration"
"300160504",":3rd_place_medal:","1️⃣ Pas grand chose à corriger c'est un répertoire vide"
"300160733",":1st_place_medal:","1️⃣ Trés bonne illustration et documentation"
"300160862",":1st_place_medal:","1️⃣ Trés bonne illustration et documentation"
