"StudentID","Appreciation","Comments"
"300124366",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration"
"300147253",":2nd_place_medal:","2️⃣ Tentative d'installation de la VM"
"300147891",":2nd_place_medal:","2️⃣ Tentative d'installation de la VM"
"300155045",":x:","1️⃣ Rien à corriger"
"300151722",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration"
"300152004",":x:","1️⃣ Rien à corriger"
"300153405",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300153416",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration"
"300155462",":x:","1️⃣ Rien à corriger"
"300156534",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300157250",":1st_place_medal:","2️⃣ Bonne illustration et documentation"
"300157298",":3rd_place_medal:","2️⃣ Documentation mais pas de VM sur le serveur"
"300157307",":x:","1️⃣ Rien à corriger"
"300157423",":x:","1️⃣ Rien à corriger"
"300157606",":1st_place_medal:","1️⃣ Bonne illustration et documentation"
"300157727",":1st_place_medal:","1️⃣ Bonne illustration et documentation"
"300157733",":1st_place_medal:","1️⃣ Bonne illustration et documentation"
"300158085",":1st_place_medal:","2️⃣ Bonne illustration et documentation"
"300159180",":1st_place_medal:","2️⃣ Bonne illustration et documentation "
"300159195",":x:","1️⃣ Rien à corriger"
"300159203",":1st_place_medal:","1️⃣ Trés bonne illustration et documentation"
"300159437",":1st_place_medal:","1️⃣ Trés bonne illustration et documentation"
"300159463",":x:","1️⃣ Rien à corriger"
"300159693",":x:","1️⃣ Rien à corriger"
"300159672",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300159887",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300159995",":x:","1️⃣ Rien à corriger"
"300160006",":2nd_place_medal:","1️⃣ Bon texte - une illustration - à terminer"
"300160424",":x:","1️⃣ Rien à corriger"
"300160504",":1st_place_medal:","2️⃣ Bonne illustration et documentation "
"300160733",":1st_place_medal:","2️⃣ Bonne illustration et documentation "
"300160862",":1st_place_medal:","2️⃣ Bonne illustration et documentation"
