"StudentID","Appreciation","Comments"
"300124366",":trophy:","1️⃣ Connection à la VM ✅"
"300147253",":x:","1️⃣ Rien à corriger"
"300147891",":x:","1️⃣ Rien à corriger"
"300155045",":x:","1️⃣ VM ✅ - ⚠️ Attention adresse IP utilisée par 🧑‍🎓 300152004"
"300151722",":trophy:","1️⃣ Connection à la VM ✅"
"300152004",":3rd_place_medal:","1️⃣ ⚠️ Attention adresse IP volée à 🧑‍🎓 300155045"
"300153405",":trophy:","1️⃣ Connection à la VM ✅"
"300153416",":trophy:","1️⃣ Connection à la VM ✅"
"300155462",":x:","À corriger"
"300156534",":x:","À corriger"
"300157250",":x:","À corriger"
"300157298",":x:","À corriger"
"300157307",":x:","À corriger"
"300157423",":x:","À corriger"
"300157606",":x:","À corriger"
"300157727",":x:","À corriger"
"300157733",":x:","À corriger"
"300158085",":x:","À corriger"
"300159180",":x:","À corriger"
"300159195",":x:","À corriger"
"300159203",":x:","À corriger"
"300159437",":x:","À corriger"
"300159463",":x:","À corriger"
"300159693",":x:","À corriger"
"300159672",":x:","À corriger"
"300159887",":x:","À corriger"
"300159995",":x:","À corriger"
"300160006",":x:","À corriger"
"300160424",":x:","À corriger"
"300160504",":x:","À corriger"
"300160733",":x:","À corriger"
"300160862",":x:","À corriger"
